Sample,alpha,gamma,beta,delta,Transport_Time,Total_Cost,Time_Change,Cost_Change
18,0.0005483336050558039,0.8960892009285883,0.01495353677374086,0.9282991281097854,469.64075985710946,71866378809255.16,6.074395465627045,7.941586902959593
19,0.0005755871875254175,0.872836596916344,0.014915795242681074,0.7223435828254113,482.1652651986999,82259487200110.03,8.903215802727757,23.551787822375687
20,0.0004948969876280967,0.8816463231648912,0.014371747968938538,0.839663477528644,477.30876062812916,75948033579127.75,7.806311891414603,14.072135016695123
21,0.0004705166422104627,0.9878983895008412,0.015218608297210489,0.7531039577486786,425.962076452861,75879492753730.25,-3.790995984318314,13.969188331699605
22,0.0005949669452801145,0.9582983859282329,0.01590208972291599,0.9594675058221983,439.1739110308479,68295671068394.91,-0.8069335143610276,2.5784690403200377
23,0.0005349026786943561,0.9339055666633863,0.015454891415353394,0.8128043047209604,450.6176780069197,74965664712281.81,1.7777881869786418,12.596640408947376
24,0.0004062678725021226,0.9416977865635829,0.014647346953652359,0.9680097535660963,446.8314654483771,68619032596088.8,0.9226234683669907,3.0641503424945227
25,0.0005659181507051856,0.8298904447540474,0.01458383304701411,0.8106936892128761,507.11201744144165,79727259739710.28,14.53776009523067,19.74844257243247
26,0.0004414623236172123,0.863992166926271,0.01400598576421493,0.9397041837393443,487.0356859200736,72888064718957.38,10.003262855373197,9.476134771335687
27,0.0005922652235261624,0.8839431090434215,0.015660903519616153,0.9199372607539936,476.11493099209565,72725075935574.14,7.536670140196641,9.231329506102211
28,0.0004213232212641521,0.913518790228408,0.01534659486750371,0.8232728033897777,460.62165786145096,75321264917340.3,4.037315481080164,13.130743435606174
29,0.0005114002267011757,0.9422988099856227,0.014803358905386504,0.9148088829932266,446.5934348723787,70429699977020.08,0.8688612066351699,5.783729562840296
30,0.00044302741294272843,0.821025006452705,0.014492605769150705,0.8884184992881972,512.5247991413481,76894096182459.38,15.7603063384053,15.493098482576745
31,0.0004960290817939934,0.9967520529164852,0.014135546169906942,0.8214449434042738,422.1892387704173,72158712267331.11,-4.643139815439183,8.38066478461132
32,0.00041037507903109426,0.9919658560843191,0.014665580819676569,0.7592327641666774,424.18993389691684,75385167036844.66,-4.19125713362291,13.226722894986903
33,0.0004355133750491344,0.8662413204950173,0.014929811208763105,0.7045288100865469,485.76823030034564,83631473652326.9,9.716991730432804,25.612478750670782
34,0.0005678515771257983,0.8780542254810357,0.014065038593818618,0.977468836088988,479.2964029116409,70990221016690.5,8.255246421052899,6.625618795566327
35,0.0005271103570513404,0.8002476217095464,0.014477818465477384,0.9037207385004749,525.8760732364995,77420231349289.56,18.775863013617986,16.283340954426322
36,0.0004876482576055755,0.9956313667817968,0.015291784467734154,0.8068125594255494,422.66091244352737,72914366598776.94,-4.536606260414227,9.515639567504557
37,0.0005208850902022028,0.8220821240772843,0.014972787723563209,0.9613059127882172,511.90561556454776,74256742018320.6,15.620455777710085,11.531855430970438
38,0.0005028893127042618,0.9490961201492834,0.015477314233219356,0.9059625690089884,443.3912117969488,70511721109432.08,0.14559801079235052,5.9069233474558756
39,0.0005150721364785588,0.9169433071972207,0.015101825294121516,0.9567076378680189,458.94441341169306,70008664188111.94,3.6584882874816405,5.151343849928441
40,0.0004769379318654532,0.8889428129046013,0.015892155072907106,0.9876808075659009,473.3824793023816,70237309384961.586,6.919510843346783,5.494763482232389
