Stage,Alpha,Det_Time,Det_Cost,Risk_Time_Mean,Risk_Cost_Mean,Risk_Time_Std,Risk_Cost_Std
2,0.6130653266331658,45.66594611792669,30935538455959.97,46.674,30998549166005.457,0.5930632344025382,26687845548.11422
2,0.5778894472361809,43.04576888165221,31534045128568.82,44.24,31607039090187.793,0.4586937976471886,20641220894.12349
2,0.542713567839196,40.42559164537773,32132555051177.68,41.584,32205539014370.105,0.5924052666882698,26658237000.972137
2,0.507537688442211,37.80541440910324,32731061723786.53,38.56,32787478938552.414,0.5678027826631357,25551125219.841103
2,0.4723618090452261,35.18523717282876,33329568396395.387,36.166,33397768862734.727,0.38787111261345564,17454200067.605507
2,0.4371859296482412,32.565059936554285,33928075069004.24,33.478,33994828786917.043,0.5599249949770059,25196624773.965263
2,0.4020100502512563,29.9448827002798,34526581741613.094,31.066,34604308711099.36,0.3868384675804618,17407731041.12078
2,0.3668341708542714,27.32470546400532,35125091664221.95,28.12,35189758635281.67,0.33704599092705434,15167069591.718676
2,0.3266331658291457,24.59794520547945,35809099290060.64,27.0,35959952834347.18,0.0,0.0078125
3,1.0,93.10986964618247,30439944134078.21,94.692,30511140000000.0,0.7383332580887848,33224996613.99531
3,0.9648241206030151,89.8346481008394,31188080724839.28,91.662,31272314905227.895,0.701253163985732,31556392379.35794
3,0.92964824120603,86.55942655549629,31936214065600.348,88.112,32010089810455.797,0.7452892056108151,33538014252.486683
3,0.8944723618090452,83.28420501015319,32684347406361.41,85.004,32767754715683.684,0.7456433463794874,33553950587.076927
3,0.8592964824120602,80.00898346481007,33432483997122.484,81.582,33511289620911.566,0.6922976238584096,31153393073.628433
3,0.8241206030150754,76.73376191946699,34180617337883.555,78.116,34252844526139.48,0.7338555716215555,33023500722.969997
3,0.7889447236180905,73.45854037412388,34928750678644.617,74.938,35007359431367.36,0.6373036952662365,28678666286.980644
3,0.7537688442211055,70.18331882878077,35676887269405.69,71.488,35749634336595.26,0.633921130741041,28526450883.346844
3,0.7185929648241206,66.90809728343767,36425020610166.76,68.486,36512069241823.14,0.6338801148482258,28524605168.170162
3,0.6834170854271358,63.63287573809457,37173153950927.82,64.898,37248134147051.055,0.6477623020831021,29149303593.739594
3,0.6482412060301508,60.35765419275147,37921287291688.89,61.788,38005709052278.94,0.674578386846184,30356027408.078285
3,0.6130653266331658,57.08243264740836,38669423882449.96,58.376,38749693957506.83,0.550112715722878,24755072207.52951
3,0.5778894472361809,53.80721110206526,39417557223211.03,54.842,39488188862734.734,0.6301079272632587,28354856726.846638
3,0.5427135678391959,50.53198955672215,40165690563972.09,51.712,40244863767962.625,0.620528806744699,27923796303.51145
3,0.507537688442211,47.25676801137906,40913827154733.16,48.25,40986598673190.516,0.48528342234203714,21837754005.391674
3,0.4723618090452261,43.98154646603595,41661960495494.23,45.216,41747593578418.39,0.43051596950635873,19373218627.786144
3,0.4371859296482412,40.70632492069285,42410093836255.3,41.632,42483838483646.305,0.6004798081534465,27021591366.905094
3,0.4020100502512562,37.43110337534974,43158227177016.37,38.562,43243213388874.195,0.5849410226680977,26322346020.0644
3,0.3668341708542713,34.15588183000664,43906363767777.44,35.188,43988908294102.1,0.4008191612186224,18036862254.838005
3,0.3266331658291457,30.74739726027397,44761373300075.8,33.484,44937971042933.984,0.49974393443042403,22488477049.369087
