Stage,Alpha,Time_Mean,Cost_Mean,Time_Std,Cost_Std
3,0.6,200.0,37394643792336.82,0.0,1763570771287.9062
3,0.62,200.0,36327032307542.555,0.0,1655570938297.5247
3,0.64,200.0,35336399214285.21,0.0,1753670274982.551
3,0.66,200.0,34227060408821.84,0.0,1724266532023.1475
3,0.68,200.0,33249903082685.03,0.0,1769344894227.7192
3,0.7000000000000001,200.0,32157714646166.28,0.0,1673400478209.2197
3,0.72,200.0,31369413527431.574,0.0,1846355254696.0754
3,0.74,200.0,30183321004887.13,0.0,1788805997257.3184
3,0.76,200.0,29115986254648.133,0.0,1734624269324.1985
3,0.78,200.0,28121397448778.67,0.0,1781291150015.1729
3,0.8,200.0,27082782220832.83,0.0,1768163061259.0332
3,0.8200000000000001,200.0,26020536731400.043,0.0,1748312087514.7148
3,0.84,200.0,25127601247967.777,0.0,1769302588947.427
3,0.86,200.0,23906985581888.543,0.0,1843411765324.5815
3,0.88,200.0,22948770685229.727,0.0,1717654655654.8706
3,0.9,200.0,21949756518257.375,0.0,1682658327728.366
3,0.92,200.0,20928484567534.727,0.0,1716320654022.0886
3,0.9400000000000001,200.0,19751879001897.895,0.0,1775442340556.849
3,0.96,200.0,18693297540433.633,0.0,1742431054648.5083
3,0.98,200.0,17822287872805.04,0.0,1805847314271.0764
3,1.0,200.0,16796413677841.594,0.0,1749679510763.5515
