Total_Time,Total_Cost
130.72812853840898,73555420834479.66
130.6345507799706,73576796072787.12
130.54097302153224,73598171311094.58
130.44739526309385,73619549799402.03
130.3538175046555,73640925037709.48
130.35381750465547,73640925037709.5
130.2602397462171,73662300276016.94
130.16666198777875,73683675514324.4
130.16666198777872,73683675514324.4
130.07308422934037,73705050752631.88
130.07308422934034,73705050752631.88
129.979506470902,73726425990939.31
129.97950647090198,73726425990939.33
129.88592871246362,73747801229246.78
129.8859287124636,73747804479246.78
129.79235095402524,73769176467554.25
129.7923509540252,73769176467554.25
129.69877319558685,73790551705861.7
129.6051954371485,73811926944169.16
129.51161767871014,73833302182476.62
129.5116176787101,73833302182476.62
129.41803992027175,73854677420784.08
129.41803992027172,73854677420784.08
129.32446216183337,73876052659091.53
129.230884403395,73897427897399.0
129.23088440339498,73897427897399.0
129.13730664495662,73918803135706.45
129.1373066449566,73918803135706.47
129.04372888651824,73940178374013.9
128.95015112807988,73961553612321.38
128.95015112807985,73961556862321.38
128.85657336964152,73982928850628.83
128.8565733696415,73982928850628.84
128.85657336964147,73982928850628.84
128.76299561120314,74004304088936.28
128.7629956112031,74004304088936.3
128.66941785276475,74025679327243.75
128.57584009432637,74047054565551.22
128.48226233588798,74068429803858.67
128.38868457744962,74089805042166.12
128.29510681901124,74111180280473.6
128.20152906057288,74132555518781.05
128.20152906057285,74132555518781.06
128.1079513021345,74153930757088.5
128.01437354369614,74175305995395.97
128.0143735436961,74175309245395.97
127.92079578525777,74196681233703.42
127.92079578525775,74196681233703.42
127.92079578525774,74196681233703.44
127.8272180268194,74218056472010.88
127.82721802681937,74218056472010.88
127.73364026838101,74239431710318.34
127.733640268381,74239431710318.34
127.73364026838098,74239434960318.36
127.64006250994265,74260806948625.8
127.64006250994262,74260806948625.81
127.54648475150427,74282182186933.25
127.54648475150425,74282182186933.27
127.54648475150424,74282185436933.25
127.45290699306588,74303557425240.72
127.45290699306587,74303560675240.73
127.35932923462751,74324932663548.19
127.3593292346275,74324932663548.19
127.26575147618914,74346307901855.64
127.26575147618912,74346307901855.64
127.17217371775075,74367683140163.1
127.0785959593124,74389058378470.56
127.07859595931238,74389058378470.56
127.07859595931237,74389058378470.56
126.98501820087401,74410433616778.02
126.985018200874,74410433616778.03
126.89144044243565,74431808855085.47
126.89144044243564,74431808855085.47
126.89144044243562,74431808855085.47
126.79786268399727,74453184093392.94
126.79786268399725,74453184093392.94
126.70428492555888,74474559331700.39
126.61070716712052,74495934570007.84
126.61070716712051,74495934570007.84
126.6107071671205,74495934570007.88
126.51712940868214,74517309808315.31
126.51712940868212,74517309808315.33
126.42355165024375,74538685046622.77
126.3299738918054,74560060284930.22
126.32997389180538,74560060284930.23
126.32997389180537,74560063534930.25
126.23639613336702,74581435523237.69
126.23639613336701,74581435523237.69
126.14281837492865,74602810761545.16
126.14281837492864,74602810761545.16
126.14281837492862,74602814011545.16
126.04924061649027,74624185999852.61
126.04924061649025,74624189249852.62
125.9556628580519,74645561238160.06
125.95566285805188,74645561238160.06
125.86208509961352,74666936476467.53
125.86208509961351,74666936476467.53
125.8620850996135,74666939726467.53
125.76850734117514,74688311714774.98
125.67492958273678,74709686953082.44
125.67492958273677,74709686953082.44
125.67492958273675,74709690203082.44
125.5813518242984,74731062191389.9
125.58135182429838,74731065441389.9
125.48777406586004,74752437429697.36
125.48777406586002,74752437429697.36
125.48777406586001,74752437429697.36
125.39419630742165,74773812668004.81
125.39419630742164,74773812668004.83
125.39419630742162,74773815918004.83
125.30061854898328,74795187906312.28
125.30061854898327,74795187906312.28
125.20704079054491,74816563144619.73
125.2070407905449,74816563144619.75
125.20704079054488,74816566394619.75
125.11346303210654,74837938382927.19
125.11346303210652,74837938382927.19
125.11346303210651,74837941632927.2
125.01988527366817,74859313621234.66
125.01988527366815,74859313621234.66
125.01988527366814,74859313621234.66
124.92630751522978,74880688859542.12
124.92630751522977,74880688859542.12
124.92630751522975,74880692109542.12
124.83272975679142,74902064097849.58
124.83272975679141,74902064097849.58
124.8327297567914,74902064097849.58
124.73915199835302,74923439336157.03
124.73915199835301,74923442586157.03
124.64557423991465,74944814574464.5
