Index,Total_Time,Total_Cost
14899,153.83599999999998,68277050967216.45
2229,153.83589999999998,68277060277811.92
12946,153.5811,68335286861688.5
14398,153.58100000000002,68335293698387.266
12996,153.581,68335295247205.14
3431,153.58089999999999,68335306081789.234
15049,153.3262,68393531839153.55
12395,153.32619999999997,68393533051272.65
15099,153.3261,68393533516256.875
13096,153.326,68393540714483.67
2429,153.3259,68393559597885.63
14548,153.0712,68451778028737.69
15199,153.0711,68451778983535.4
13246,153.071,68451786181762.2
2529,153.07099999999997,68451795106750.85
2579,153.0709,68451805065164.164
11393,152.81619999999998,68510022180440.92
15299,152.8161,68510024450813.93
3781,152.816,68510034098108.18
2629,152.81599999999997,68510037219822.72
13496,152.56119999999999,68568267157905.95
15399,152.5611,68568269918092.48
3881,152.561,68568279565386.71
2729,152.56099999999998,68568284364204.57
15449,152.3062,68626512135371.0
12294,152.30610000000001,68626517319795.71
13696,152.3061,68626517552287.81
4031,152.306,68626525032665.24
13746,152.30599999999998,68626527719114.44
12394,152.0512,68684759537074.24
13846,152.0511,68684763019566.34
2929,152.051,68684775298761.64
14547,151.7963,68743004514539.29
15699,151.7962,68743006424134.73
13996,151.7961,68743008486844.875
3079,151.796,68743020766040.17
14046,151.5412,68801250704123.41
15298,151.5411,68801254186615.516
3129,151.54109999999997,68801261306215.38
4381,151.541,68801266570017.49
15899,151.28629999999998,68859495681588.46
15949,151.2862,68859497358691.78
15398,151.2861,68859499653894.06
7786,151.28609999999998,68859503290251.36
4531,151.286,68859512037296.02
16049,151.0313,68917741253073.64
15448,151.0312,68917741871172.59
16099,151.03119999999998,68917742825970.31
14396,151.03109999999998,68917746669990.45
3429,151.031,68917762303392.414
12393,150.7763,68975986022875.83
16249,150.7762,68975988293248.84
4731,150.77609999999999,68975994586336.43
4781,150.776,68976014607369.71
14546,150.5213,69034231000340.875
16349,150.5212,69034233760527.38
4881,150.5211,69034240053614.96
4931,150.52100000000002,69034260074648.24
16399,150.2663,69092475977805.914
14746,150.2662,69092479821826.05
5031,150.2661,69092485520893.49
16499,150.0113,69150723122187.76
14846,150.0112,69150725289104.58
12142,150.01119999999997,69150728074120.35
5181,150.0111,69150730988172.03
15447,149.7563,69208968356974.19
14946,149.75619999999998,69208970756383.11
4029,149.7561,69208981254268.42
16749,149.5013,69267214056744.836
15096,149.50119999999998,69267216223661.64
5481,149.5011,69267227058245.74
16849,149.2464,69325456274023.36
16899,149.2463,69325461201126.695
15196,149.2462,69325461690940.17
5631,149.2461,69325472525524.27
2025,149.24609999999998,69325488494874.53
11390,148.9913,69383704887845.67
15296,148.9912,69383707158218.7
4379,148.99110000000002,69383722791620.67
2125,148.9911,69383724003739.75
13493,148.7364,69441949865310.734
17249,148.7363,69441950562787.086
15396,148.7362,69441952625497.25
4529,148.7361,69441968258899.2
15446,148.4813,69500194842775.766
17349,148.48129999999998,69500196030065.61
16698,148.4812,69500201679474.55
6031,148.48110000000003,69500217312876.49
3427,148.4811,69500218524995.59
17449,148.2264,69558439820240.82
17499,148.22629999999998,69558441497344.14
15646,148.2262,69558448695570.94
2425,148.2261,69558468791091.99
16848,147.97140000000002,69616686009824.95
17599,147.97129999999999,69616686964622.67
15746,147.9712,69616694162849.47
13292,147.97119999999998,69616701979175.234
2575,147.9711,69616714258370.52
4929,147.97109999999998,69616716296251.42
16397,147.7164,69674932199409.1
17699,147.7163,69674932431901.2
5029,147.71620000000001,69674941742496.67
2625,147.7162,69674946413029.08
17799,147.4613,69733177899179.74
5179,147.46120000000002,69733187209775.21
14894,147.4612,69733189896224.414
17849,147.2064,69791420116458.27
16096,147.2063,69791425533375.08
6631,147.20620000000002,69791433013752.52
6681,147.2062,69791436367959.17
12390,146.95139999999998,69849668730280.59
16246,146.9513,69849671000653.61
5479,146.9512,69849683279848.92
5529,146.95119999999997,69849686634055.57
16847,146.69650000000001,69907912495626.55
18249,146.69639999999998,69907914405221.99
16346,146.6963,69907916467932.16
5629,146.69619999999998,69907928747127.45
16396,146.4414,69966158685210.69
17698,146.4413,69966162167702.8
3125,146.44129999999998,69966170499421.74
7131,146.4412,69966177801104.75
2123,146.44119999999998,69966180225342.93
18549,146.1865,70024403662675.72
18599,146.1864,70024405339779.055
17798,146.18630000000002,70024407634981.33
16546,146.1863,70024409183799.19
7281,146.1862,70024423268383.28
4527,146.18619999999999,70024424480502.38
17848,145.9314,70082649852259.86
16696,145.9313,70082654651077.72
3425,145.9312,70082671496598.77
17447,145.6765,70140896041844.01
18849,145.6764,70140896274336.11
7531,145.6763,70140902567423.71
5528,145.67629999999997,70140913119857.16
7581,145.6762,70140922588456.984
16846,145.42149999999998,70199138981428.125
18949,145.4214,70199141741614.65
7631,145.4213,70199148034702.24
6229,145.42129999999997,70199151052210.13
7681,145.4212,70199168055735.51
19049,145.16649999999998,70257383958893.18
17096,145.1664,70257387802913.33
7731,145.1663,70257393501980.77
6329,145.16629999999998,70257398300798.64
13490,144.9115,70315632572715.484
17246,144.9114,70315633270191.86
7781,144.91129999999998,70315638969259.31
17847,144.6565,70373876338061.47
17346,144.6564,70373878737470.38
6629,144.6563,70373889235355.7
17446,144.4015,70432122527645.6
17496,144.4014,70432124204748.9
7981,144.4013,70432138289333.0
19599,144.1466,70490367505110.62
16845,144.14659999999998,70490368717229.72
19649,144.1465,70490369182213.97
17596,144.1464,70490369672027.44
6228,144.14639999999997,70490377538011.72
8081,144.1463,70490383756611.53
19048,143.8915,70548613694694.77
17696,143.8914,70548615139305.97
7079,143.89139999999998,70548622387191.3
4375,143.8913,70548631984827.03
18547,143.6366,70606859884278.9
19999,143.6365,70606860116771.03
17796,143.63639999999998,70606860606584.52
4525,143.6363,70606877452105.56
17846,143.3815,70665102823863.05
16694,143.38139999999999,70665110872680.9
8431,143.3813,70665125293963.75
20249,143.1266,70723347801328.1
17996,143.1265,70723351645348.23
8531,143.1264,70723357344415.67
7579,143.12630000000001,70723378810060.16
617,143.1263,70723382446417.44
16844,142.8716,70781595203031.31
18246,142.8715,70781597112626.77
8581,142.8714,70781602811694.22
7679,142.87130000000002,70781624277338.69
4925,142.8713,70781625489457.78
19047,142.6166,70839840180496.38
18396,142.6165,70839842579905.3
15792,142.61649999999997,70839847042024.39
7729,142.6164,70839849723583.95
18546,142.3616,70898086370080.48
18596,142.3615,70898088047183.83
17795,142.36149999999998,70898090342386.11
7779,142.3614,70898095190862.5
20899,142.10660000000001,70956331347545.53
17845,142.1066,70956332559664.64
18746,142.10649999999998,70956333514462.36
8981,142.1064,70956344244839.78
967,142.10639999999998,70956362742634.9
20248,141.85160000000002,71014577537129.69
21049,141.8516,71014578491927.4
18846,141.8515,71014578981740.88
5475,141.8514,71014592473055.28
5525,141.85139999999998,71014595827261.94
16843,141.5967,71072821688832.9
21249,141.5966,71072823959205.94
18946,141.5965,71072824449019.42
5625,141.5964,71072837940333.81
19046,141.3416,71131066666297.95
17694,141.3415,71131071360909.16
9481,141.34140000000002,71131085782192.03
2119,141.3414,71131089418549.3
21599,141.0867,71189311643763.0
19146,141.0866,71189315487783.14
21699,141.08659999999998,71189316675072.98
17794,141.0865,71189316828187.7
9631,141.08640000000003,71189331249470.55
4523,141.0864,71189333673708.75
17844,140.8316,71247559045466.23
19296,140.83159999999998,71247560955061.67
19346,140.8315,71247565882164.98
8429,140.8314,71247581515566.94
8479,140.83139999999997,71247588119773.6
20247,140.57670000000002,71305804022931.28
21949,140.5767,71305805932526.72
19446,140.57659999999998,71305806422340.2
8529,140.5765,71305813566018.84
3521,140.57649999999998,71305822698670.34
9981,140.5764,71305830569544.25
615,140.57639999999998,71305838668020.62
19596,140.3217,71364050212515.4
19646,140.3216,71364051889618.73
8579,140.32150000000001,71364059033297.39
6225,140.3215,71364060245416.5
10181,140.32139999999998,71364076036822.78
22199,140.0667,71422295189980.44
19846,140.0666,71422297356897.27
10281,140.06650000000002,71422304733068.03
19896,140.0665,71422307419517.23
22299,139.8117,71480540761465.64
19996,139.8116,71480542824175.8
10381,139.81150000000002,71480550200346.56
7777,139.8115,71480551412465.67
17843,139.5567,71538785531267.83
22399,139.55669999999998,71538786228744.17
20146,139.5566,71538788291454.33
6625,139.5565,71538798428562.06
8478,139.55649999999997,71538814605575.19
20246,139.30169999999998,71597030508732.86
18844,139.3016,71597035203344.06
10631,139.3015,71597046270420.28
5523,139.30149999999998,71597052048865.11
22599,139.0468,71655275486197.9
22649,139.0467,71655277163301.23
18944,139.0466,71655280670622.61
17592,139.04659999999998,71655282115233.81
10781,139.0465,71655291737698.8
5623,139.04649999999998,71655294161937.0
22749,138.7917,71713522630579.75
20646,138.79160000000002,71713526370393.23
17692,138.7916,71713527582512.34
9479,138.79149999999998,71713542003795.2
21597,138.5368,71771767865366.19
22849,138.5367,71771768097858.28
20796,138.5366,71771771837671.78
9629,138.5365,71771787471073.72
22949,138.2817,71830013565136.84
11131,138.28160000000003,71830019858224.4
16690,138.2816,71830020065887.27
11231,138.2815,71830033275051.03
23049,138.02679999999998,71888255782415.36
23099,138.0267,71888260709518.69
11281,138.0266,71888265325502.94
9929,138.02659999999997,71888273478527.47
9979,138.0265,71888286791147.44
16840,137.77179999999998,71946504396237.67
23299,137.7717,71946506176797.22
11331,137.7716,71946510792781.47
10129,137.77159999999998,71946515591599.34
10179,137.7715,71946532258425.97
19043,137.5168,72004749373702.73
23449,137.51670000000001,72004751644075.75
21496,137.5167,72004753915199.22
7725,137.5166,72004758916790.31
10279,137.51659999999998,72004760954671.22
21596,137.2618,72062994351167.77
23599,137.2617,72062997111354.28
7775,137.2616,72063004384068.84
23649,137.0068,72121239328632.81
22948,137.0067,72121243300938.42
11681,137.0066,72121252225927.05
23048,136.7518,72179485518216.95
17490,136.7517,72179489619558.45
9928,136.75169999999997,72179499964329.06
10629,136.7516,72179502492023.45
22597,136.4969,72237731707801.1
23849,136.4968,72237731940293.19
17590,136.4967,72237735086836.98
10729,136.49669999999998,72237741250888.67
10779,136.4966,72237747959301.97
23999,136.2418,72295977407571.72
17690,136.2417,72295980554115.52
22246,136.24169999999998,72295982928695.2
12081,136.2416,72295993763279.28
24099,135.9869,72354219624850.25
22296,135.9868,72354223468870.4
17790,135.98669999999998,72354226021394.05
12181,135.9866,72354239230557.81
3317,135.98659999999998,72354254269939.62
17840,135.7318,72412468238672.58
22446,135.7317,72412473863252.27
11229,135.73160000000001,72412489496654.22
3417,135.7316,72412493133011.5
23047,135.4769,72470712004018.55
22496,135.4768,72470714403427.47
11279,135.4767,72470721547106.12
12481,135.47660000000002,72470738550631.53
611,135.4766,72470747861226.97
22596,135.2219,72528958193602.67
22646,135.2218,72528959870706.0
11329,135.2217,72528967014384.66
12681,135.22160000000002,72528984017910.06
10177,135.2216,72528988480029.14
24599,134.9669,72587203171067.72
22746,134.96679999999998,72587205337984.53
12781,134.9667,72587212714155.3
24098,134.7119,72645449360651.84
24699,134.71189999999999,72645450315449.56
22846,134.71179999999998,72645450805263.06
12881,134.7117,72645458181433.84
3917,134.71169999999998,72645473325022.3
23647,134.45690000000002,72703695550236.0
24799,134.4569,72703695782728.1
22946,134.4568,72703696272541.61
11679,134.4567,72703708447530.22
6671,134.45669999999998,72703714225975.06
23046,134.2019,72761938489820.12
23096,134.2018,72761943416923.45
13081,134.20170000000002,72761954251507.53
5519,134.2017,72761961242071.47
24999,133.947,72820183467285.17
23246,133.9469,72820187311305.31
23296,133.9468,72820188884201.98
13231,133.94670000000002,72820199718786.06
13281,133.9467,72820203072992.73
19040,133.6919,72878432081107.48
23446,133.6918,72878434351480.52
12079,133.6917,72878449984882.47
24097,133.437,72936675846453.44
25249,133.43689999999998,72936677756048.89
23596,133.4368,72936679818759.05
12179,133.4367,72936695452161.0
12229,133.43669999999997,72936703837677.64
23646,133.18189999999998,72994922036037.58
24848,133.1818,72994928872736.34
4567,133.18179999999998,72994934493176.84
13731,133.1817,72994941256138.31
12329,133.18169999999998,72994949304956.17
25449,132.927,73053167013502.62
25499,132.9269,73053168690605.95
23796,132.92680000000001,73053175888832.75
7521,132.9268,73053180425439.61
12479,132.92669999999998,73053194772234.7
24998,132.672,73111413203086.77
25549,132.6719,73111414157884.47
23946,132.6718,73111421356111.28
12679,132.6717,73111440239513.23
24597,132.417,73169659392670.9
25599,132.4169,73169659625163.0
12779,132.4168,73169668935758.47
24096,132.162,73227902332255.03
25649,132.1619,73227905092441.56
12879,132.1618,73227914403037.02
3915,132.16179999999997,73227929546625.47
25699,131.90699999999998,73286147309720.08
22944,131.9069,73286152494144.8
14381,131.9068,73286160207014.31
12979,131.90679999999998,73286165005832.19
23044,131.652,73344394711423.31
24446,131.6519,73344398193915.42
22042,131.65189999999998,73344402760241.19
13079,131.65179999999998,73344410473110.72
24997,131.3971,73402639688888.36
25899,131.397,73402641598483.78
24546,131.3969,73402643661193.97
13229,131.39679999999998,73402655940389.25
24596,131.142,73460885878472.48
25598,131.14190000000002,73460889360964.6
