Index,q_SE,q_R,Time,Cost,Alpha,Rocket_Launches
161,32361809045.22613,7638190954.773869,60.2640764343131,27600998029996.35,0.8090452261306533,50922.0
160,32160804020.100502,7839195979.899498,59.8897654005596,27686498983226.188,0.8040201005025126,52262.0
159,31959798994.974876,8040201005.025124,59.515454366806104,27771999936456.023,0.7989949748743719,53602.0
158,31758793969.849247,8241206030.150753,59.141143333052604,27857500889685.86,0.7939698492462312,54942.0
157,31557788944.723618,8442211055.276382,58.766832299299104,27943001842915.695,0.7889447236180904,56282.0
156,31356783919.597992,8643216080.402008,58.39252126554561,28028502796145.53,0.7839195979899498,57622.0
155,31155778894.472363,8844221105.527637,58.01821023179211,28114003749375.367,0.7788944723618091,58962.0
154,30954773869.346733,9045226130.653267,57.64389919803861,28199504702605.207,0.7738693467336684,60302.0
153,30753768844.221107,9246231155.778893,57.26958816428512,28285005655835.043,0.7688442211055276,61642.0
152,30552763819.095478,9447236180.904522,56.89527713053162,28370506609064.88,0.7638190954773869,62982.0
151,30351758793.96985,9648241206.030151,56.52096609677812,28456007562294.71,0.7587939698492462,64322.0
150,30150753768.844223,9849246231.155777,56.146655063024625,28541508515524.547,0.7537688442211056,65662.0
149,29949748743.718594,10050251256.281406,55.772344029271125,28627009468754.383,0.7487437185929648,67002.0
148,29748743718.592964,10251256281.407036,55.398032995517624,28712510421984.227,0.7437185929648241,68342.0
147,29547738693.46734,10452261306.532661,55.02372196176413,28798011375214.06,0.7386934673366835,69682.0
146,29346733668.34171,10653266331.65829,54.64941092801063,28883512328443.895,0.7336683417085428,71022.0
145,29145728643.21608,10854271356.78392,54.27509989425713,28969013281673.73,0.728643216080402,72362.0
144,28944723618.090454,11055276381.909546,53.90078886050364,29054514234903.57,0.7236180904522613,73702.0
143,28743718592.964825,11256281407.035175,53.52647782675014,29140015188133.406,0.7185929648241206,75042.0
142,28542713567.839195,11457286432.160805,53.15216679299664,29225516141363.242,0.7135678391959799,76382.0
141,28341708542.71357,11658291457.28643,52.777855759243145,29311017094593.08,0.7085427135678393,77722.0
140,28140703517.58794,11859296482.41206,52.403544725489645,29396518047822.914,0.7035175879396985,79062.0
139,27939698492.46231,12060301507.53769,52.029233691736145,29482022251052.75,0.6984924623115578,80403.0
138,27738693467.336685,12261306532.663315,51.65492265798265,29567523204282.586,0.6934673366834171,81743.0
137,27537688442.211056,12462311557.788944,51.28061162422915,29653024157512.42,0.6884422110552764,83083.0
136,27336683417.085426,12663316582.914574,50.90630059047565,29738525110742.258,0.6834170854271356,84423.0
135,27135678391.9598,12864321608.0402,50.53198955672216,29824026063972.094,0.678391959798995,85763.0
