Index,Total_Time_Mean,Total_Cost_Mean,Total_Time_Std,Total_Cost_Std
130041,243.09699999999998,67623882543859.24,10.329664708982571,464834911904.19305
127440,242.651,67705873947368.016,10.322845198878069,464528033949.4903
132541,241.673,67763925350876.766,10.065256231214383,452936530404.624
132591,240.464,67811581754385.56,10.164461717179124,457400777273.03186
132641,239.322,67862253157894.336,9.826741982976861,442203389233.9408
130040,238.83799999999997,67942534561403.11,9.826577125327008,442195970639.69745
127439,238.392,68024525964911.88,9.819408230642008,441873370378.8723
124838,237.901,68104492368420.66,9.816443908055504,441739975862.4797
132590,236.20499999999998,68130233771929.43,9.652767841401761,434374552863.05493
132640,235.49099999999999,68200165175438.23,9.498703753670814,427441668915.17737
130039,235.007,68280446578947.0,9.498533202552908,427433994114.8716
127438,234.561,68362437982455.77,9.491116530735464,427100243883.0865
132539,233.673,68424539385964.516,9.362445353645596,421310040914.0368
132589,232.374,68468145789473.32,9.318607299376877,419337328471.9437
129988,231.89,68548427192982.09,9.318433452034737,419329505341.5474
127387,231.44400000000002,68630418596490.86,9.310873321015597,418989299445.686
132488,230.599,68694454999999.625,9.167416811730554,412533756527.8689
132538,229.84199999999998,68762451403508.41,9.01753281114075,405788976501.32794
132588,229.184,68834902807017.195,9.18399706010406,413279867704.66797
132638,228.529,68907489210525.99,9.05085835708415,407288626068.7856
132437,227.75799999999998,68974855614034.72,9.060778001915729,407735010086.2158
132487,226.768,69032367017543.516,8.81487640299057,396669438134.57947
129886,226.284,69112648421052.28,8.814692620846174,396661167938.0816
132587,225.41199999999998,69175469824561.086,8.861664967713462,398774923547.09796
129986,224.928,69255751228069.86,8.861482155937574,398766697017.183
132436,223.92700000000002,69312767631578.61,8.703919404498183,391676373202.4367
129835,223.443,69393049035087.38,8.703733279461176,391667997575.7714
132536,222.88,69469775438596.17,8.5445047837777,384502715269.99945
132586,221.82999999999998,69524586842104.94,8.807144940331119,396321522314.9139
132385,221.22,69599198245613.7,8.575446693904638,385895101225.731
129784,220.736,69679479649122.47,8.575257780381882,385886600117.2069
132485,219.80599999999998,69739691052631.28,8.33034873219603,374865692948.8346
132535,219.298,69818892456140.02,8.487947808510606,381957651383.00244
132334,218.16500000000002,69869968859648.78,8.357692325038055,376096154626.7336
129733,217.681,69950250263157.555,8.357498489380658,376087432022.15076
132434,216.965,70020091666666.375,8.212848287896229,369578172955.35925
132484,216.224,70088808070175.13,8.272327725616291,372254747652.7693
132283,215.65800000000002,70165399473683.86,8.314326551200645,374144694804.05646
132333,214.97500000000002,70236725877192.66,8.207337022445222,369330166010.05786
132383,214.25799999999998,70306522280701.47,8.076567959226246,363445558165.2143
132433,213.38299999999998,70369208684210.22,8.153991231292808,366929605408.2287
132483,212.617,70436800087719.03,7.922630813056986,356518386587.6023
129882,212.13299999999998,70517081491227.8,7.922426332885652,356509184979.8923
132332,211.203,70577292894736.55,7.844978330116662,353024024855.2821
132382,210.676,70655639298245.31,8.016710422611009,360751969017.5525
132432,209.776,70717200701754.12,7.798990062822237,350954552827.0556
129831,209.292,70797482105262.89,7.798782340852961,350945205338.4382
132281,208.696,70872723508771.62,7.798762081253666,350944293656.4541
132331,207.62099999999998,70926409912280.4,7.783339964308382,350250298393.934
132381,207.069,71003631315789.22,7.655345779257785,344490560066.6603
132431,206.534,71081617719297.97,7.5662557450829,340481508528.79285
132481,205.85,71152899122806.75,7.572128762772064,340745794324.78925
132280,205.11399999999998,71221840526315.47,7.7367555215348505,348153998469.1322
132330,204.014,71274401929824.28,7.410604158906344,333477187150.8454
129729,203.53,71354683333333.06,7.410385550023697,333467349751.1263
132430,203.00900000000001,71433299736841.84,7.442667599725248,334920041987.7005
129829,202.525,71513581140350.62,7.4424499326498665,334910246969.3083
132279,201.507,71569832543859.38,7.361661429324226,331274764319.6575
132329,200.772,71638818947368.14,7.165265801071164,322436961048.2704
129728,200.288,71719100350876.9,7.16503970679856,322426786806.0032
129778,199.81799999999998,71800011754385.72,7.291785378081283,328130342013.7275
132228,198.93,71862113157894.47,7.137972120987865,321208745444.5215
132278,198.265,71934249561403.22,7.114635549344745,320158599720.5893
132328,197.247,71990500964912.03,7.034636380083906,316558637103.846
129727,196.763,72070782368420.8,7.034406087225844,316548273925.2332
132177,196.21699999999998,72148273771929.56,6.907479931205012,310836596904.2857
132227,195.688,72226530175438.31,6.882922780331041,309731525114.97327
132277,194.74,72285931578947.1,6.983059071782223,314237658230.2782
132327,194.05599999999998,72357212982455.89,6.947168200065406,312622569003.01245
132126,193.447,72431869385964.64,6.9553532620565,312990896792.5973
129525,192.963,72512150789473.4,6.955120344034314,312980415481.59894
132226,192.163,72578212192982.2,6.746828958851706,303607303148.40576
132276,191.54899999999998,72652643596490.97,6.89493662044837,310272147920.25397
132326,190.638,72713709999999.75,6.50738887726867,292832499477.1499
129725,190.154,72793991403508.52,6.507139924728836,292821296612.85736
132175,189.45,72864372807017.28,6.502486755080706,292611903978.70337
129574,188.966,72944654210526.06,6.50223761485229,292600692668.42474
132275,188.131,73009140614034.81,6.451597864095374,290321903884.36017
132325,187.53,73084157017543.61,6.438624542555654,289738104415.0575
132124,186.68,73147968421052.38,6.553319311616061,294899369022.7886
129523,186.196,73228249824561.16,6.553072103982986,294888244679.3002
132224,185.554,73301421228069.92,6.195135349611015,278781090732.5647
132274,185.023,73379587631578.69,6.382232446409328,287200460088.48145
129673,184.539,73459869035087.47,6.381978611684624,287189037525.86975
132123,183.48899999999998,73514680438596.25,6.459336730655864,290670152879.5786
132173,182.841,73587581842105.0,5.928097080851494,266764368638.37805
129572,182.357,73667863245613.78,5.9278237996755605,266752070985.46106
132022,181.89600000000002,73749179649122.6,6.238135138003985,280716081210.24
132072,181.365,73827346052631.34,6.303694710247316,283666261961.1886
132122,180.071,73871177456140.1,5.983811076563162,269271498445.39685
129521,179.587,73951458859648.88,5.9835403399659635,269259315298.52286
126920,179.14100000000002,74033450263157.64,5.971759790882416,268729190589.76315
124319,178.65,74113416666666.4,5.9668842790856935,268509792558.91077
132071,177.947,74183843070175.19,5.815456215981683,261695529719.22427
132121,176.963,74241624473683.97,5.908956845332346,265903058040.00284
129520,176.47899999999998,74321905877192.73,5.908682678905679,265890720550.80283
126919,176.03300000000002,74403897280701.5,5.8967525808702534,265353866139.20853
132020,175.287,74472388684210.31,5.6368724484416,253659260179.92047
129419,174.803,74552670087719.08,5.636585047703973,253646327146.72726
132120,174.153,74625481491227.81,5.771959026188595,259738156178.52438
132170,173.66699999999997,74705672894736.6,5.5789227454769446,251051523546.50333
131969,172.92000000000002,74774119298245.4,5.601158987209701,252052154424.47836
132019,172.179,74842835701754.17,5.557347118904846,250080620350.7588
129418,171.695,74923117105262.94,5.557055605264356,250067502236.93674
132119,170.897,74989268508771.69,5.638088239820303,253713970791.94794
129518,170.413,75069549912280.45,5.637800901060626,253701040547.76245
131968,169.812,75144566315789.28,5.521119270582732,248450367176.25687
129367,169.328,75224847719298.06,5.520825844020077,248437162980.9374
132068,168.773,75301934122806.78,5.459081882514678,245658684713.1879
131867,167.94,75366510526315.62,5.293284613545733,238197807609.59198
131917,167.40800000000002,75444631929824.39,5.438849694558583,244748236255.16788
129316,166.924,75524913333333.16,5.43855182930162,244734832318.60455
132017,166.113,75590479736841.89,5.268431929900965,237079436845.57007
129416,165.62900000000002,75670761140350.66,5.268124429054424,237065599307.47577
131866,164.832,75736957543859.5,5.208515911466528,234383216016.0193
129265,164.348,75817238947368.27,5.208204873082471,234369219288.73672
131966,163.74599999999998,75892210350877.0,5.230203246528763,235359146093.81372
129365,163.262,75972491754385.78,5.2298934979595915,235345207408.20102
131815,162.663,76047598157894.6,5.1006049641194515,229527223385.40335
131865,162.022,76120814561403.34,5.052561528571424,227365268785.72806
131915,161.34199999999998,76192275964912.11,5.143282414956425,231447708673.05594
129314,160.858,76272557368420.88,5.142967431357115,231433534411.08698
131764,160.326,76350678771929.69,5.038209801109914,226719441049.9724
129163,159.84199999999998,76430960175438.45,5.037888248065849,226704971162.98953
131864,158.766,76484601578947.22,4.899071952931494,220458237881.92685
129263,158.28199999999998,76564882982455.98,4.898741266897039,220443357010.37637
126662,157.836,76646874385964.75,4.884344991910379,219795524635.97647
124061,157.345,76726840789473.53,4.878382826306275,219527227183.7919
131813,156.59699999999998,76795242192982.31,4.784186346705153,215288385601.7438
131863,155.99,76869988596491.06,4.736070311978064,213123164039.02115
129262,155.506,76950269999999.84,4.735728243892379,213107770975.16534
126661,155.06,77032261403508.6,4.720834883789095,212437569770.5173
131762,154.26,77098322807017.4,4.717608080372934,212292363616.79193
129161,153.776,77178604210526.17,4.717264673515786,212276910308.2203
131862,153.027,77246960614034.92,4.596861211740029,206858754528.307
129261,152.543,77327242017543.69,4.59650878384889,206842895273.2058
131711,151.993,77404553421052.5,4.6160995439873265,207724479479.44055
131761,151.48399999999998,77483709824561.25,4.5481075185180035,204664838333.3187
131811,150.858,77557601228070.02,4.474222390538941,201340007574.2605
131861,150.113,77626137631578.78,4.490021492153462,202050967146.91312
129260,149.629,77706419035087.55,4.48966067760137,202034730492.06903
129059,149.15699999999998,77787240438596.38,4.488406287314017,201978282929.13953
131760,148.52100000000002,77860681842105.11,4.402959572832801,198133180777.48193
131810,147.944,77936778245613.88,4.364381514029221,196397168131.32477
131860,147.416,78015079649122.62,4.383903055497464,197275637497.39087
131659,146.865,78092346052631.45,4.310276905257944,193962460736.61472
131709,146.25400000000002,78166912456140.22,4.294019329253189,193230869816.40033
131759,145.607,78239858859648.97,4.291295025979919,193108276169.10394
129158,145.123,78320140263157.73,4.2909175009547775,193091287542.97256
131859,144.617,78399431666666.47,4.327259294287782,194726668242.95303
131658,143.902,78469318070175.31,4.156832688478092,187057470981.5186
131708,143.34,78546089473684.06,4.179445178489605,188075033032.04077
129107,142.856,78626370877192.84,4.17905754925677,188057589716.56323
126506,142.41,78708362280701.6,4.162172749898784,187297773745.45355
131607,141.82600000000002,78784143684210.4,4.084514414223556,183803148640.063
131657,140.988,78848495087719.16,4.038368234819603,181726570566.88834
129056,140.504,78928776491227.94,4.037967062768096,181708517824.57047
126455,140.058,79010767894736.7,4.020489771159728,180922039702.19363
131556,139.553,79090104298245.5,4.0168371886348595,180757673488.57153
131606,138.912,79163320701754.25,3.9638892517324447,178375016327.9647
131656,138.291,79237437105263.0,3.920042219160401,176401899862.22162
129055,137.80700000000002,79317718508771.78,3.9196289365193744,176383302143.3754
131505,137.33,79398314912280.6,3.911463409006916,176015853405.3161
131555,136.639,79469281315789.36,3.8941162026832226,175235229120.7496
128954,136.155,79549562719298.12,3.8937001682204553,175216507569.92508
131655,135.492,79621789122806.88,3.856591500275859,173546617512.41473
129054,135.008,79702070526315.64,3.8561714173516717,173527713780.82632
131504,134.416,79777491929824.44,3.785327726894991,170339747710.28134
128903,133.932,79857773333333.22,3.7848997344711792,170320488051.2098
131604,133.416,79936614736841.95,3.778531196113114,170033903825.08954
131654,132.76999999999998,80009606140350.72,3.7744618159414465,169850781717.36554
129053,132.286,80089887543859.48,3.77403259127422,169831466607.34033
131503,131.719,80166433947368.28,3.658827544446445,164647239500.094
131553,131.143,80242575350877.06,3.7052693559308207,166737121016.88617
128952,130.659,80322856754385.84,3.7048321149547387,166717445172.96246
131653,130.014,80395893157894.56,3.616499135904777,162742461115.71494
129052,129.53,80476174561403.34,3.616051161142497,162722302251.41232
131502,128.92000000000002,80550785964912.16,3.590763985560733,161584379350.2343
131552,128.421,80630392368420.9,3.619707861140178,162886853751.30652
128951,127.937,80710673771929.69,3.619260283538613,162866712759.23608
131652,127.33099999999999,80785465175438.4,3.5059736165578888,157768812745.10672
129051,126.84700000000001,80865746578947.19,3.5055115175962555,157748018291.8332
131501,126.19800000000001,80938602982456.0,3.502406315663561,157608284204.8609
131551,125.665,81016679385964.75,3.454676395843755,155460437812.96692
128950,125.181,81096960789473.53,3.454207434419653,155439334548.8823
126349,124.735,81178952192982.3,3.4337601838218115,154519208271.97906
131450,124.232,81258378596491.06,3.4351136807971874,154580115635.87228
131500,123.44200000000001,81324889999999.84,3.3315692998945705,149920618495.25583
128899,122.958,81405171403508.62,3.331083007071424,149898735318.2142
128949,122.49799999999999,81486532807017.38,3.338313047034385,150224087116.547
123697,122.021,81567129210526.16,3.3010705839166783,148548176276.25046
131449,121.476,81644665614034.92,3.2607529805245905,146733884123.6048
131499,120.75900000000001,81714462017543.69,3.2112519365506036,144506337144.7792
128898,120.275,81794743421052.47,3.2107474207729267,144483633934.78375
126297,119.82900000000001,81876734824561.23,3.188739406097651,143493273274.396
123696,119.338,81956701228070.0,3.179599345829597,143081970562.3337
131448,118.793,82034237631578.78,3.1377213069359744,141197458812.119
128847,118.309,82114519035087.55,3.137204966207978,141174223479.35913
128897,117.84299999999999,82195610438596.33,3.1422697210774255,141402137448.4854
131347,117.346,82275306842105.1,3.1390460334311756,141257071504.4022
131397,116.749,82350503245613.84,3.054727320072939,137462729403.2824
128796,116.26500000000001,82430784649122.62,3.0541969484628853,137438862680.82999
131497,115.71100000000001,82507916052631.4,3.060720666771145,137732430004.7052
128896,115.227,82588197456140.17,3.0601913338874747,137708610024.94003
131346,114.66300000000001,82664878859648.94,3.011045499490169,135497047477.0589
128745,114.179,82745160263157.72,3.010507432311038,135472834453.998
126144,113.733,82827151666666.47,2.9870244391367136,134416099761.15302
131496,113.06,82898928070175.25,2.9585851348237386,133136331067.07368
131295,112.56900000000002,82978894473684.03,2.9395780309425366,132281011392.4181
128694,112.08500000000001,83059175877192.8,2.9390268797682,132256209589.57295
123693,111.639,83141167280701.56,2.9241988646465207,131588948909.0987
131445,111.094,83218703684210.33,2.8786076495417015,129537344229.38
131244,110.572,83297275087719.1,2.8765350684460635,129444078080.07637
128643,110.088,83377556491227.88,2.875971835745267,129418732608.54051
131344,109.61500000000001,83458332894736.64,2.849959122513865,128248160513.12692
131394,109.05,83534969298245.4,2.787910687235156,125455980925.58557
131193,108.488,83611740701754.17,2.824583155086782,127106241978.91095
128592,108.00399999999999,83692022105262.94,2.8240095608903313,127080430240.07066
131293,107.52100000000002,83772348508771.72,2.774345147958343,124845531658.13132
131343,106.964,83849344912280.5,2.7399784670686733,123299031018.0952
128742,106.47999999999999,83929626315789.27,2.7393871577416724,123272422098.38014
126141,106.03399999999999,84011617719298.03,2.713558917731472,122110151297.92072
131242,105.524,84090729122806.81,2.707457478890481,121835586550.0771
131292,104.87,84163360526315.58,2.661241439629257,119755864783.3245
128691,104.386,84243641929824.34,2.660632631537094,119728468419.17714
126090,103.94,84325633333333.12,2.634032270113637,118531452155.1212
131191,103.44,84405194736841.88,2.6521956941372182,119348806236.18271
131241,102.873,84481741140350.66,2.5914360883494694,116614623975.73367
128640,102.389,84562022543859.44,2.5908108769263722,116586489461.6943
126039,101.943,84644013947368.19,2.563486102946532,115356874632.6011
123438,101.452,84723980350876.97,2.5521077563457224,114844849035.56491
131190,100.789,84796206754385.72,2.533645002757884,114014025124.11496
128589,100.30499999999999,84876488157894.5,2.5330055270370018,113985248716.67525
125988,99.859,84958479561403.28,2.5050502988962116,112727263450.33931
123387,99.368,85038445964912.05,2.493405301991636,112203238589.63364
131139,98.84,85116747368420.81,2.4710050586755177,111195227640.4096
128538,98.356,85197028771929.58,2.470349368004453,111165721560.21169
128588,97.887,85277985175438.34,2.4691385137330792,111111233118.00284
123336,97.419,85358986578947.12,2.429728174096847,109337767834.36934
131088,96.92699999999999,85438907982455.88,2.4548916473033997,110470124128.66455
131138,96.422,85518244385964.66,2.4054924651721525,108247160932.76244
128537,95.93799999999999,85598525789473.42,2.4048189121012835,108216851044.5733
125936,95.49199999999999,85680517192982.19,2.375355552333166,106890999855.0077
123335,95.001,85760483596490.97,2.3630715181729056,106338218317.79628
131087,94.50899999999999,85840404999999.72,2.3889372113975704,107502174512.90651
128486,94.025,85920686403508.5,2.3882589893058084,107471654518.7772
125885,93.57900000000001,86002677807017.27,2.3585887729742123,106136494783.85507
130986,92.975,86077559210526.03,2.3004827754191073,103521724893.87134
128385,92.491,86157840614034.81,2.299778467592042,103490031041.65337
125784,92.045,86239832017543.58,2.268951519975691,102102818398.9172
123183,91.554,86319798421052.34,2.2560882074954427,101523969337.30632
120582,91.158,86404039824561.12,2.264020759622137,101880934183.00763
130985,90.55699999999999,86479056228069.88,2.2299661432407443,100348476445.84961
128384,90.07300000000001,86559337631578.66,2.2292395564407164,100315780039.84833
125783,89.62700000000001,86641329035087.42,2.1974232637341404,98884046868.05208
123182,89.136,86721295438596.19,2.18413873185748,98286242933.6027
120581,88.74000000000001,86805536842104.97,2.1923316354967834,98654923597.3714
117980,88.26599999999999,86886268245613.75,2.1852693197864657,98337119390.40674
128383,87.78800000000001,86966819649122.5,2.023984683736515,91079310768.15747
125782,87.34200000000001,87048811052631.27,1.9888876288015875,89499943296.08536
123181,86.851,87128777456140.03,1.974200344443289,88839015499.96231
120580,86.45500000000001,87213018859648.81,1.9832606989500903,89246731452.76842
117979,85.981,87293750263157.6,1.9754510877265479,88895298947.70862
125731,85.56800000000001,87377226666666.34,1.9779752273474005,89008885230.6462
123130,85.077,87457193070175.11,1.963206306020842,88344283770.95145
120529,84.68100000000001,87541434473683.88,1.9723171651638587,88754272432.38724
117928,84.207,87622165877192.66,1.9644640490474752,88400882207.14958
104974,83.793,87705597280701.44,1.9359646174452674,87118407785.05057
112726,83.36500000000001,87788398684210.2,1.961126971922012,88250713736.50401
110125,82.92599999999999,87870705087718.97,1.94607553810226,87573399214.61467
107524,82.49199999999999,87953236491227.75,1.9574662193764674,88085979871.95393
104923,82.019,88034012894736.52,1.9247521918418486,86613848632.89595
102322,81.612,88117759298245.28,1.935932333528215,87116955008.78229
99721,81.205,88201505701754.06,1.9415712709040582,87370707190.6953
97120,80.745,88282867105262.84,1.9216084408640592,86472379838.89539
94519,80.351,88367198508771.61,1.9386425663334643,87238915485.01816
91918,79.88300000000001,88448199912280.38,1.9133089138975965,86098901125.40392
89317,79.48599999999999,88532396315789.16,1.9044185464335304,85698834589.52103
86716,79.029,88613892719297.92,1.908248149481613,85871166726.68507
84115,78.656,88699169122806.69,1.892989698862622,85184536448.83035
81514,78.162,88779000526315.47,1.9134351308575894,86104580888.60356
78913,77.80199999999999,88864861929824.25,1.9016713701373327,85575211656.19174
76312,77.396,88948653333333.02,1.8871168485284635,84920258183.79295
73711,76.932,89029834736841.78,1.8949390491517135,85272257211.83931
71110,76.51599999999999,89113176140350.56,1.8746759720015618,84360418740.08252
68509,76.06899999999999,89195122543859.33,1.8948274327758716,85267234474.9262
65908,75.725,89281703947368.1,1.8834911733268092,84757102799.71834
63307,75.333,89366125350876.88,1.840774565230626,82834855435.39046
60706,74.78399999999999,89443481754385.64,1.885392797270638,84842675877.19081
58105,74.387,89527678157894.4,1.8515288277528925,83318797248.89252
55504,74.047,89614439561403.19,1.8815522846841117,84669852810.79695
52903,73.681,89700030964911.97,1.8660211681543166,83970952566.95639
50302,73.28999999999999,89784497368420.72,1.8272914381674317,82228114717.54688
47701,72.654,89857938771929.5,1.8664902892862851,83992063017.89507
45100,72.322,89945060175438.28,1.8333886658316616,82502489962.43716
52852,72.195,90041406578947.03,1.6473745779269513,74131856006.7238
50251,71.804,90125872982455.81,1.603372071604093,72151743222.19554
47650,71.168,90199314385964.58,1.6479059439179167,74155767476.31734
45049,70.836,90286435789473.34,1.6103173600256566,72464281201.16583
42448,70.729,90383682192982.12,1.5819377358164262,71187198111.75066
45048,70.55099999999999,90783917807017.23,1.0787386152354053,48543237685.601036
42447,70.44399999999999,90881164210526.0,1.0358967129979706,46615352084.91682
